"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","DBPR_SCHEDULE_CAT_CODE","CDS_ID","GW_SW_CODE","LT2_SCHEDULE_CAT_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","POP_CAT_2_CODE","POP_CAT_3_CODE","POP_CAT_4_CODE","POP_CAT_5_CODE","POP_CAT_11_CODE","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","ADMIN_NAME","EMAIL_ADDR","PHONE_NUMBER","PHONE_EXT_NUMBER","FAX_NUMBER","ALT_PHONE_NUMBER","ADDRESS_LINE1","ADDRESS_LINE2","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED"
"24","CT0590011","GROTON UTILITIES","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",30200,2,2,2,4,6,"State","SW","Y","N","N",17196,"Y","GAUDET, RONALD","GAUDET, RONALD","gaudetr@yurservice.com","860-446-4091",NA,"860-446-0692",NA,"295 Meridian Street",NA,"GROTON","06340","US","CT","Y","30-JUN-10",NA,NA,"GROTON,LEDYARD","New London"
"25","CT0608011","CTWC - SHORELINE REGION-GUILFORD SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","P",33197,2,2,2,4,6,"State","SW","Y","N","N",14757,"Y","PATLA, CRAIG J.","PATLA, CRAIG J.","cpatla@ctwater.com","800-428-3985","3140","860-669-7899",NA,"93 WEST MAIN STREET",NA,"CLINTON","06413","US","CT","Y","30-JUN-10",NA,NA,"CLINTON,GUILFORD,MADISON,OLD SAYBROOK,WESTBROOK","New Haven"
"26","CT0640011","METROPOLITAN DISTRICT COMMISSION","Y","CT","01",NA,NA,"A",NA,"CWS","1",NA,"SW","1","L",390887,2,3,4,5,9,"State","SW","Y","N","N",95868,"Y","NEGRELLI, SUSAN","NEGRELLI, SUSAN","snegrelli@themdc.com","860-278-7850","3815","860-561-9818",NA,"555 Main Street",NA,"HARTFORD","06142-0800","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,BLOOMFIELD,CROMWELL,EAST GRANBY,EAST HARTFORD,FARMINGTON,GLASTONBURY,HARTFORD,MANCHESTER,NEWINGTON,PORTLAND,ROCKY HILL,SOUTH WINDSOR,WEST HARTFORD,WETHERSFIELD,WINDSOR,WINDSOR LOCKS","Hartford"
"27","CT0690011","CTWC - CRYSTAL SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"P",6378,1,2,1,3,5,"State","GW","Y","N","N",2762,"Y","RACICOT, JEFF","RACICOT, JEFF","jracicot@ctwater.com","860-292-2856","249",NA,NA,"25 NORTH ROAD",NA,"EAST WINDSOR","06088","US","CT","Y","30-JUN-10",NA,NA,"BROOKLYN,KILLINGLY","Windham"
"28","CT0723011","MASHANTUCKET PEQUOT TRIBAL NATION","N","CT","01","01-01","12-31","N","06-DEC-10","CWS",NA,NA,"SW",NA,"N",41000,2,2,2,4,6,"State","GU","N","N","N",300,"Y","GREENWOOD, KEN","GREENWOOD, KEN","kgreenwood@mptn-nsn.gov","860-396-6780",NA,NA,NA,"145 ROUTE 2","P.O BOX 3249","MASHANTUCKET","06338-3249","US","CT","Y","30-JUN-10",NA,NA,"LEDYARD","New London"
"29","CT0740011","AQUARION WATER CO OF CT-LITCHFIELD SYS","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW",NA,"P",5602,1,2,1,3,5,"State","SWP","Y","N","N",1587,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"GOSHEN,LITCHFIELD,TORRINGTON","Litchfield"
"30","CT0770021","MANCHESTER WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","L",51066,2,3,3,4,7,"State","SW","Y","N","N",15218,"Y","KEARNEY II, PATRICK J.","KEARNEY II, PATRICK J.","pkearney@manchesterct.gov","860-647-3113",NA,"860-647-3150",NA,"125 Spring Street","P.O. BOX 191","MANCHESTER","06045","US","CT","Y","30-JUN-10",NA,NA,"GLASTONBURY,MANCHESTER,SOUTH WINDSOR,VERNON","Hartford"
"31","CT0780021","UNIVERSITY OF CONNECTICUT - MAIN CAMPUS","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"S",28480,2,2,2,4,6,"State","GW","Y","N","Y",350,"Y","NOLAN, STANLEY","NOLAN, STANLEY","stanley.nolan@uconn.edu","860-486-3208",NA,NA,NA,"25 LeDoyt Road","Unit 3252","STORRS","06269-3252","US","CT","Y","30-JUN-10",NA,NA,"MANSFIELD","Tolland"
"32","CT0800011","MERIDEN WATER DIVISION","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","L",58441,2,3,3,4,7,"State","SW","Y","N","N",17608,"Y","WAZ, DENNIS","WAZ, DENNIS","dwaz@meridenct.gov","203-630-4256",NA,"203-630-4285",NA,"117 PARKER AVE",NA,"MERIDEN","06450","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,CHESHIRE,MERIDEN,SOUTHINGTON,WALLINGFORD","New Haven"
"33","CT0830011","MIDDLETOWN WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",41019,2,2,2,4,6,"State","SW","Y","N","N",11001,"Y","RUSSO, GUY","RUSSO, GUY","guy.russo@middletownct.gov","860-638-3510",NA,"860-343-8091",NA,"82 Berlin Street",NA,"MIDDLETOWN","06457","US","CT","Y","30-JUN-10",NA,NA,"CROMWELL,MIDDLEFIELD,MIDDLETOWN","Middlesex"
"34","CT0880011","CTWC - NAUGATUCK REGION-CENTRAL SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","P",22108,2,2,2,4,6,"State","SW","Y","N","N",9537,"Y","REYNOLDS, REED M.","REYNOLDS, REED M.","rreynolds@ctwater.com","860-664-6241",NA,"860-673-3740",NA,NA,"19 EXECUTIVE DRIVE","FARMINGTON","06032","US","CT","Y","30-JUN-10",NA,NA,"BEACON FALLS,NAUGATUCK,PROSPECT,WATERBURY","New Haven"
"35","CT0890011","NEW BRITAIN WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","L",73164,2,3,3,4,7,"State","SW","Y","N","N",17034,"Y","BLIGH, GILBERT J.","BLIGH, GILBERT J.","gb@newbritainct.gov","860-826-3535",NA,"860-827-2090",NA,"1000 SHUTTLE MEADOW AVENUE",NA,"NEW BRITAIN","06052","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,FARMINGTON,NEW BRITAIN,NEWINGTON,PLAINVILLE,WEST HARTFORD","Hartford"
"36","CT0900011","AQUARION WATER CO OF CT-NEW CANAAN SYS","Y","CT","01",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"P",10097,2,2,2,4,6,"State","SWP","Y","N","N",2100,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"NEW CANAAN,STAMFORD","Fairfield"
"37","CT0930011","REGIONAL WATER AUTHORITY","Y","CT","01",NA,NA,"A",NA,"CWS","1",NA,"SW","1","L",418900,2,3,4,5,9,"State","SW","Y","N","N",114000,"Y","BARGER, THOMAS C.","BARGER, THOMAS C.","tbarger@rwater.com","203-401-2710",NA,"203-603-4965",NA,"90 SARGENT DRIVE",NA,"NEW HAVEN","06511","US","CT","Y","30-JUN-10",NA,NA,"ANSONIA,BETHANY,BRANFORD,CHESHIRE,DERBY,EAST HAVEN,HAMDEN,MERIDEN,MILFORD,NEW HAVEN,NORTH BRANFORD,NORTH HAVEN,ORANGE,PROSPECT,SEYMOUR,SOUTHINGTON,WALLINGFORD,WEST HAVEN,WOLCOTT,WOODBRIDGE","New Haven"
"38","CT0950011","NEW LONDON DEPT. OF PUBLIC UTILITIES","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",26273,2,2,2,4,6,"State","SW","Y","N","N",7027,"Y","LANZAFAME, JOSEPH M.","LANZAFAME, JOSEPH M.","jlanzafame@ci.new-london.ct.us","860-373-1868",NA,"860-701-7693",NA,"City of New London","120 Broad Street","NEW LONDON","06320","US","CT","Y","30-JUN-10",NA,NA,"NEW LONDON,WATERFORD","New London"
"39","CT0960011","AQUARION WATER CO OF CT-NEW MILFORD","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"P",6665,1,2,1,3,5,"State","GW","Y","N","N",3405,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"NEW MILFORD","Litchfield"
"40","CT1030011","NORWALK FIRST TAXING DISTRICT","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",40256,2,2,2,4,6,"State","SW","Y","N","N",10961,"Y","DI GANGI, P.E., DOMINICK  M.","DI GANGI, P.E., DOMINICK  M.","DDIGANGI@firstdistrictwater.org","203-847-7387","28","203-846-3482",NA,"12 NEW CANAAN AVENUE","P.O. Box 27","NORWALK","06851","US","CT","Y","30-JUN-10",NA,NA,"NEW CANAAN,NORWALK,WESTPORT,WILTON","Fairfield"
"41","CT1030021","SOUTH NORWALK ELECTRIC %26 WATER","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",42000,2,2,2,4,6,"State","SW","Y","N","N",9272,"Y","VILLA, THOMAS F.","VILLA, THOMAS F.","tvilla@snew.org","203-762-7884","4301","203-834-0578",NA,"164 OLD BOSTON ROAD",NA,"WILTON","06897","US","CT","Y","30-JUN-10",NA,NA,"DARIEN,NEW CANAAN,NORWALK,WILTON","Fairfield"
"42","CT1040011","NORWICH PUBLIC UTILITIES","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","3","L",36067,2,2,2,4,6,"State","SW","Y","N","N",8538,"Y","BOISCLAIR, DIANA","BOISCLAIR, DIANA",NA,"860-887-2555",NA,NA,NA,"173 North Main Street",NA,"NORWICH","06360","US","CT","Y","30-JUN-10",NA,NA,"BOZRAH,FRANKLIN,LEBANON,LISBON,MONTVILLE,NORWICH,PRESTON","New London"
"43","CT1100011","VALLEY WATER SYSTEMS, INC.","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"P",18231,2,2,2,4,6,"State","GW","Y","N","N",6622,"Y","VAUGHAN, DONALD","VAUGHAN, DONALD","dvaughan@valleywatersystems.com","860-747-8000",NA,"860-747-5954",NA,"37 NORTHWEST DRIVE",NA,"PLAINVILLE","06062","US","CT","Y","30-JUN-10",NA,NA,"BRISTOL,FARMINGTON,PLAINVILLE,SOUTHINGTON","Hartford"
"44","CT1110011","CTWC - NAUGATUCK REG-TERRYVILLE SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"P",5607,1,2,1,3,5,"State","GW","Y","N","N",2383,"Y","REYNOLDS, REED M.","REYNOLDS, REED M.","rreynolds@ctwater.com","860-664-6241",NA,"860-673-3740",NA,NA,"19 EXECUTIVE DRIVE","FARMINGTON","06032","US","CT","Y","30-JUN-10",NA,NA,"PLYMOUTH","Litchfield"
"45","CT1130011","PORTLAND WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW",NA,"L",5010,1,2,1,3,5,"State","SWP","Y","N","N",2322,"Y","KELSEY, RICHARD","KELSEY, RICHARD","rkelsey@portlandct.org","860-342-6734",NA,"860-342-6759",NA,"Town Hall 33 East Main Street","P.O. Box 71","PORTLAND","06480","US","CT","Y","30-JUN-10",NA,NA,"MIDDLETOWN,PORTLAND","Middlesex"
"46","CT1160011","PUTNAM WATER POLLUTION CONTROL AUTHORITY","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW","4","L",7300,1,2,1,3,5,"State","SW","Y","N","N",2230,"Y","BEAUSOLEIL, GERARD M.","BEAUSOLEIL, GERARD M.","jerry.beausoleil@putnamct.us","860-963-6800","811","860-963-2001",NA,"126 CHURCH STREET",NA,"PUTNAM","06260-1895","US","CT","Y","30-JUN-10",NA,NA,"PUTNAM,THOMPSON,WOODSTOCK","Windham"
"47","CT1180011","AQUARION WATER CO OF CT-RIDGEFIELD SYS","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW",NA,"P",16202,2,2,2,4,6,"State","SWP","Y","N","N",2813,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"RIDGEFIELD","Fairfield"
"48","CT1240011","AQUARION WATER CO OF CT-VALLEY SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"P",13080,2,2,2,4,6,"State","SWP","Y","N","N",5039,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"ANSONIA,BEACON FALLS,BETHANY,OXFORD,SEYMOUR,WOODBRIDGE","New Haven"
"49","CT1280021","AQUARION WATER CO OF CT-SIMSBURY SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"P",12566,2,2,2,4,6,"State","GW","Y","N","N",5453,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"EAST GRANBY,GRANBY,SIMSBURY","Hartford"
"50","CT1300021","HERITAGE WATER COMPANY","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"P",7300,1,2,1,3,5,"State","GW","Y","N","N",3415,"Y","ADAMAITIS, RAYMOND F.","ADAMAITIS, RAYMOND F.","rayadamaitis@sbcglobal.net","203-264-8100",NA,"203-264-6417",NA,"450 HERITAGE ROAD",NA,"SOUTHBURY","06488","US","CT","Y","30-JUN-10",NA,NA,"MIDDLEBURY,OXFORD,SOUTHBURY","New Haven"
