"","Sample.Number","Date.Submitted","Analysis..Lead.","Lead..ppb.","Analysis..Copper.","Copper..ppb.","Street..","Street.Name","City","Zip.Code","lead.ppb","copper.ppb","addresses","lon","lat","address"
"23","LG06449","1/30/2016","Lead","282","Copper","760","1416","W CASS AVE","FLINT","48505",282,760,"1416 W CASS AVE, Flint MI, 48505",-83.709934,43.081708,"1416 w cass ave, flint, mi 48505, usa"
"24","LG02683","1/23/2016","Lead","279","Copper","540","3307","BRANCH RD","FLINT","48506",279,540,"3307 BRANCH RD, Flint MI, 48506",-83.650905,43.044462,"3307 branch rd, flint, mi 48506, usa"
"25","LG04054","1/26/2016","Lead","268","Copper","70","2619","LANDON","FLINT","48504",268,70,"2619 LANDON, Flint MI, 48504",-83.72582,43.040404,"2619 landon st, flint, mi 48504, usa"
"26","LF99961","1/15/2016","Lead","257","Copper","250","2406","PIERCE ST","","48503",257,250,"2406 PIERCE ST, Flint MI, 48503",-83.658578,43.017423,"2406 pierce st, flint, mi 48503, usa"
"27","LG05545","1/28/2016","Lead","254","Copper","2,390","3410","HOGARTH AVENUE","FLINT","48503",254,2390,"3410 HOGARTH AVENUE, Flint MI, 48503",-83.731483,42.996084,"3410 hogarth ave, flint, mi 48503, usa"
"28","LF86507","10/6/2015","Lead","253","Copper","180","2801","YALE ST","FLINT","48503",253,180,"2801 YALE ST, Flint MI, 48503",-83.722708,42.997471,"2801 yale st, flint, mi 48503, usa"
"29","LG00519","1/19/2016","Lead","221","Copper","0","3413","ESTHER ST","FLINT","48505",221,0,"3413 ESTHER ST, Flint MI, 48505",-83.703888,43.0469549,"3413 esther st, flint, mi 48505, usa"
"30","LG02802","1/23/2016","Lead","216","Copper","920","1401","VERMILYA AVE","FLINT","48507",216,920,"1401 VERMILYA AVE, Flint MI, 48507",-83.698904,42.990963,"1401 vermilya ave, flint, mi 48507, usa"
"31","LF97954","12/29/2015","Lead","213","Copper","230","1201","N GRAND TRAVERS","FLINT","48505",213,230,"1201 N GRAND TRAVERS, Flint MI, 48505",-83.705607,43.023824,"1201 n grand traverse st, flint, mi 48503, usa"
"32","LG01989","1/21/2016","Lead","200","Copper","2,130","515","W MARENGO","FLINT","48505",200,2130,"515 W MARENGO, Flint MI, 48505",-83.710453,43.059212,"515 w marengo ave, flint, mi 48505, usa"
"33","LG02778","1/23/2016","Lead","183","Copper","1,270","3606","STERLING","FLINT","48504",183,1270,"3606 STERLING, Flint MI, 48504",-83.720172,43.0478949,"3606 sterling st, flint, mi 48504, usa"
"34","LG06450","1/30/2016","Lead","183","Copper","270","1709","BELLE AVE","FLINT","48506",183,270,"1709 BELLE AVE, Flint MI, 48506",-83.6675557,43.038469,"1709 belle ave, flint, mi 48506, usa"
"35","LG05263","1/27/2016","Lead","177","Copper","70","2521","BROWNELL","FLINT","48504",177,70,"2521 BROWNELL, Flint MI, 48504",-83.7278089,43.039253,"2521 brownell blvd, flint, mi 48504, usa"
"36","LG03485","1/25/2016","Lead","174","Copper","270","2832","PROSPECT ST","FLINT","48504",174,270,"2832 PROSPECT ST, Flint MI, 48504",-83.7276833,43.0285475,"2832 prospect st, flint, mi 48504, usa"
"37","LG05046","1/27/2016","Lead","160","Copper","5,490","2527","NORBERT","FLINT","48504",160,5490,"2527 NORBERT, Flint MI, 48504",-83.727664,43.018188,"2527 norbert st, flint, mi 48504, usa"
"38","LF99185","1/7/2016","Lead","158","Copper","2,200","1201","N GRAND TRAVERSE","FLINT","",158,2200,"1201 N GRAND TRAVERSE, Flint MI, ",-83.705607,43.023824,"1201 n grand traverse st, flint, mi 48503, usa"
"39","LF99922","1/15/2016","Lead","157","Copper","270","2540","S GRAND TRAVERSE","","",157,270,"2540 S GRAND TRAVERSE, Flint MI, ",-83.683935,42.997762,"2540 s grand traverse st, flint, mi 48503, usa"
"40","LG04162","1/26/2016","Lead","153","Copper","130","901","HURON ST","FLINT","",153,130,"901 HURON ST, Flint MI, ",-83.690724,42.984148,"901 huron st, flint, mi 48507, usa"
"41","LG02670","1/23/2016","Lead","152","Copper","280","2513","THOMAS STREET","FLINT","48504",152,280,"2513 THOMAS STREET, Flint MI, 48504",-83.72761,43.0174189,"2513 thomas st, flint, mi 48504, usa"
"42","LF86493","10/6/2015","Lead","151","Copper","140","1410","BLUEBERRY LN","FLINT","48507",151,140,"1410 BLUEBERRY LN, Flint MI, 48507",-83.6987582,42.9861426,"1410 blueberry ln, flint, mi 48507, usa"
"43","LG03087","1/24/2016","Lead","147","Copper","230","3202","CIRCLE DR","FLINT","48507",147,230,"3202 CIRCLE DR, Flint MI, 48507",-83.661894,42.993456,"3202 circle dr, flint, mi 48507, usa"
"44","LG00556","1/19/2016","Lead","138","Copper","440","2620","LANDON","","",138,440,"2620 LANDON, Flint MI, ",-83.725263,43.040412,"2620 landon st, flint, mi 48504, usa"
"45","LG04267","1/26/2016","Lead","138","Copper","220","2350","E. HEMPHILL RD","BURTON","48505",138,220,"2350 E. HEMPHILL RD, Flint MI, 48505",-83.660259,42.9807,"2350 hemphill rd, burton, mi 48529, usa"
"46","LG02028","1/21/2016","Lead","136","Copper","120","631","CLINTON ST","FLINT","48507",136,120,"631 CLINTON ST, Flint MI, 48507",-83.684532,42.984957,"631 clinton st, flint, mi 48507, usa"
"47","LG03139","1/24/2016","Lead","135","Copper","5,180","3221","WESTWOOD PARKWAY","FLINT","48503",135,5180,"3221 WESTWOOD PARKWAY, Flint MI, 48503",-83.726497,42.991317,"3221 westwood pkwy, flint, mi 48503, usa"
"48","LG04986","1/27/2016","Lead","134","Copper","1,950","3900","HAMMERBERG RD OFC","FLINT","48507",134,1950,"3900 HAMMERBERG RD OFC, Flint MI, 48507",-83.7517851,42.9753551,"flint, mi 48507, usa"
"49","LG05124","1/27/2016","Lead","132","Copper","160","1642","N GRAND TRAVERSE ST","FLINT","48503",132,160,"1642 N GRAND TRAVERSE ST, Flint MI, 48503",-83.708358,43.029472,"1642 n grand traverse st, flint, mi 48503, usa"
"50","LF88960","10/26/2015","Lead","131","Copper","550","829","E WELLINGTON AVE","FLINT","48503",131,550,"829 E WELLINGTON AVE, Flint MI, 48503",-83.674095,43.0123,"829 e wellington ave, flint, mi 48503, usa"
"51","LG05945","1/29/2016","Lead","131","Copper","70","3026","BEECHER RD","FLINT","48503",131,70,"3026 BEECHER RD, Flint MI, 48503",-83.72689,43.007754,"3026 beecher rd, flint, mi 48503, usa"
"52","LG05268","1/27/2016","Lead","120","Copper","230","1626","BROOKSIDE DR","FLINT","48503",120,230,"1626 BROOKSIDE DR, Flint MI, 48503",-83.671597,43.011285,"1626 brookside dr, flint, mi 48503, usa"
"53","LF89522","10/30/2015","Lead","116","Copper","130","2801","YALE ST","FLINT","48503",116,130,"2801 YALE ST, Flint MI, 48503",-83.722708,42.997471,"2801 yale st, flint, mi 48503, usa"
"54","LG02183","1/21/2016","Lead","116","Copper","370","605","W BUNDY","FLINT","48505",116,370,"605 W BUNDY, Flint MI, 48505",-83.7118446,43.0744999,"605 w bundy ave, flint, mi 48505, usa"
"55","LG02848","1/23/2016","Lead","113","Copper","430","3425","CLEMENT ST","FLINT","48504",113,430,"3425 CLEMENT ST, Flint MI, 48504",-83.736502,43.033251,"3425 clement st, flint, mi 48504, usa"
"56","LG05149","1/27/2016","Lead","112","Copper","220","1915","WELCH BLVD","FLINT","48504",112,220,"1915 WELCH BLVD, Flint MI, 48504",-83.726983,43.034633,"1915 welch blvd, flint, mi 48504, usa"
"57","LG01181","1/21/2016","Lead","109","Copper","0","4609","BALDWIN BLVD","FLINT","48505",109,0,"4609 BALDWIN BLVD, Flint MI, 48505",-83.716065,43.056961,"4609 baldwin blvd, flint, mi 48505, usa"
"58","LG01760","1/21/2016","Lead","108","Copper","620","1822","WHITTLESEY ST","FLINT","48503",108,620,"1822 WHITTLESEY ST, Flint MI, 48503",-83.660046,43.008673,"1822 whittlesey st, flint, mi 48503, usa"
"59","LG02460","1/22/2016","Lead","107","Copper","500","","","FLINT","",107,500," , Flint MI, ",-83.6874562,43.0125274,"flint, mi, usa"
"60","LG00918","1/20/2016","Lead","106","Copper","0","1014","BLANCHARD AVE","FLINT","48503",106,0,"1014 BLANCHARD AVE, Flint MI, 48503",-83.667811,43.016659,"1014 blanchard ave, flint, mi 48503, usa"
"61","LG05921","1/29/2016","Lead","105","Copper","690","326","FERNDALE PLACE","FLINT","48503",105,690,"326 FERNDALE PLACE, Flint MI, 48503",-83.728772,43.013003,"326 ferndale pl, flint, mi 48503, usa"
"62","LG06100","1/29/2016","Lead","105","Copper","0","2011","WOLCOTT ST","FLINT","48504",105,0,"2011 WOLCOTT ST, Flint MI, 48504",-83.716553,43.023848,"2011 wolcott st, flint, mi 48504, usa"
"63","LG04834","1/27/2016","Lead","101","Copper","150","3605","DAVISON RD FLINT MI","FLINT","48506",101,150,"3605 DAVISON RD FLINT MI, Flint MI, 48506",-83.64128,43.033316,"3605 davison rd, flint, mi 48506, usa"
"64","LG00475","1/19/2016","Lead","98","Copper","70","3062","W STANLEY","MT MORRIS TWP","48458",98,70,"3062 W STANLEY, Flint MI, 48458",-83.6273833,43.105825,"3062 stanley, mt morris, mi 48458, usa"
"65","LG04554","1/26/2016","Lead","93","Copper","80","426","W WOOD ST","FLINT","48503",93,80,"426 W WOOD ST, Flint MI, 48503",-83.706387,43.027709,"426 w wood st, flint, mi 48503, usa"
"66","LF88300","10/20/2015","Lead","88","Copper","90","2540","S GRAND TRAVERSE","FLINT","48503",88,90,"2540 S GRAND TRAVERSE, Flint MI, 48503",-83.683935,42.997762,"2540 s grand traverse st, flint, mi 48503, usa"
"67","LG03140","1/24/2016","Lead","88","Copper","7,930","1723","BRIARWOOD DR","FLINT","48507",88,7930,"1723 BRIARWOOD DR, Flint MI, 48507",-83.705358,42.992409,"1723 briarwood dr, flint, mi 48507, usa"
"68","LG01322","1/21/2016","Lead","86","Copper","300","1201","LINCOLN AVE","FLINT","48507",86,300,"1201 LINCOLN AVE, Flint MI, 48507",-83.696521,42.990272,"1201 lincoln ave, flint, mi 48507, usa"
"69","LG02414","1/22/2016","Lead","85","Copper","170","438","E DEWEY ST","FLINT","48505",85,170,"438 E DEWEY ST, Flint MI, 48505",-83.698042,43.045186,"438 e dewey st, flint, mi 48505, usa"
"70","LG02367","1/22/2016","Lead","81","Copper","860","2401","HILLS ST","FLINT","48503",81,860,"2401 HILLS ST, Flint MI, 48503",-83.65876,43.017155,"2401 hills st, flint, mi 48503, usa"
"71","LG01351","1/21/2016","Lead","80","Copper","50","1034","S GRAND TRAVERSE","FLINT","48502",80,50,"1034 S GRAND TRAVERSE, Flint MI, 48502",-83.6899962,43.0083948,"1034 s grand traverse st, flint, mi 48502, usa"
"72","LG06130","1/29/2016","Lead","80","Copper","380","2641","PROCTOR AVE","FLINT","48504",80,380,"2641 PROCTOR AVE, Flint MI, 48504",-83.7186849,43.041445,"2641 proctor st, flint, mi 48504, usa"
"73","LF87426","10/13/2015","Lead","78","Copper","270","1220","E KEARSLEY ST","FLINT","",78,270,"1220 E KEARSLEY ST, Flint MI, ",-83.677159,43.0226029,"1220 e kearsley st, flint, mi 48503, usa"
"74","LG01349","1/21/2016","Lead","78","Copper","120","2615","BROOKSIDE DR","FLINT","48503",78,120,"2615 BROOKSIDE DR, Flint MI, 48503",-83.656648,43.017186,"2615 brookside dr, flint, mi 48503, usa"
"75","LG02641","1/22/2016","Lead","78","Copper","670","418","W. FOSS AVE","FLINT","48505",78,670,"418 W. FOSS AVE, Flint MI, 48505",-83.7098395,43.0717177,"418 w foss ave, flint, mi 48505, usa"
"76","LG04846","1/27/2016","Lead","77","Copper","610","2202","SLOAN ST","FLINT","",77,610,"2202 SLOAN ST, Flint MI, ",-83.718068,43.02169,"2202 sloan st, flint, mi 48504, usa"
"77","LF85611","9/30/2015","Lead","75","Copper","570","224","FOURTH ST","FLINT","48503",75,570,"224 FOURTH ST, Flint MI, 48503",-83.698191,43.02124,"224 w 4th ave, flint, mi 48503, usa"
"78","LG03698","1/25/2016","Lead","75","Copper","170","1401","WOODSLEA DR","FLINT","48507",75,170,"1401 WOODSLEA DR, Flint MI, 48507",-83.664634,42.999236,"1401 woodslea dr, flint, mi 48507, usa"
"79","LF87040","10/8/2015","Lead","74","Copper","90","318","BUCKINGHAM AVE","FLINT","48507",74,90,"318 BUCKINGHAM AVE, Flint MI, 48507",-83.670916,42.987916,"318 buckingham ave, flint, mi 48507, usa"
"80","LG04809","1/27/2016","Lead","74","Copper","190","1720","E COURT ST","FLINT","48503",74,190,"1720 E COURT ST, Flint MI, 48503",-83.666618,43.018008,"1720 e court st, flint, mi 48503, usa"
"81","LG01768","1/21/2016","Lead","73","Copper","150","1221","INGLESIDE AVE","FLINT","48507",73,150,"1221 INGLESIDE AVE, Flint MI, 48507",-83.6965853,42.9836591,"1221 ingleside ave, flint, mi 48507, usa"
"82","LG01599","1/21/2016","Lead","71","Copper","70","2414","DUPONT ST","FLINT","48504",71,70,"2414 DUPONT ST, Flint MI, 48504",-83.71231,43.038429,"2414 dupont st, flint, mi 48504, usa"
"83","LG04374","1/26/2016","Lead","69","Copper","360","1912","CADILLAC ST","FLINT","48504",69,360,"1912 CADILLAC ST, Flint MI, 48504",-83.715265,43.017695,"1912 cadillac st, flint, mi 48504, usa"
"84","LG02923","1/23/2016","Lead","68","Copper","1,940","2317","MOUNTAIN AVE","FLINT","48503",68,1940,"2317 MOUNTAIN AVE, Flint MI, 48503",-83.659035,43.019324,"2317 mountain ave, flint, mi 48503, usa"
"85","LG01413","1/21/2016","Lead","67","Copper","250","4135","MENTON RD","FLINT","48507",67,250,"4135 MENTON RD, Flint MI, 48507",-83.665631,42.9859719,"4135 menton st, flint, mi 48507, usa"
"86","LG03546","1/25/2016","Lead","67","Copper","650","2851","WOLCOTT ST","FLINT","48504",67,650,"2851 WOLCOTT ST, Flint MI, 48504",-83.729011,43.027719,"2851 wolcott st, flint, mi 48504, usa"
"87","LG01682","1/21/2016","Lead","66","Copper","2,040","1201","WOODLAWN PARK DR","FLINT","48503",66,2040,"1201 WOODLAWN PARK DR, Flint MI, 48503",-83.671332,43.014913,"1201 woodlawn park dr, flint, mi 48503, usa"
"88","LG00957","1/20/2016","Lead","65","Copper","0","2216","LYMAN ST","FLINT","48506",65,0,"2216 LYMAN ST, Flint MI, 48506",-83.678076,43.036068,"2216 lyman st, flint, mi 48506, usa"
"89","LG00927","1/20/2016","Lead","64","Copper","0","2819","CLEMENT ST","FLINT","48504",64,0,"2819 CLEMENT ST, Flint MI, 48504",-83.726356,43.030071,"2819 clement st, flint, mi 48504, usa"
"90","LG04353","1/26/2016","Lead","64","Copper","80","3613","LEITH","FLINT","48506",64,80,"3613 LEITH, Flint MI, 48506",-83.641181,43.0432569,"3613 leith st, flint, mi 48506, usa"
"91","LG04375","1/26/2016","Lead","64","Copper","300","3181","W SHERMAN","FLINT","48504",64,300,"3181 W SHERMAN, Flint MI, 48504",-83.7402834,43.064631,"3181 sherman ave, flint, mi 48504, usa"
"92","LG05753","1/28/2016","Lead","63","Copper","0","5314","FLEMING RD","FLINT","48504",63,0,"5314 FLEMING RD, Flint MI, 48504",-83.723243,43.062325,"5314 fleming rd, flint, mi 48504, usa"
"93","LG01866","1/21/2016","Lead","62","Copper","7,200","921","ADDISON STREET #2","FLINT","48505",62,7200,"921 ADDISON STREET #2, Flint MI, 48505",-122.2952589,37.8671303,"921 addison st, berkeley, ca 94710, usa"
"94","LG03806","1/25/2016","Lead","61","Copper","210","322","FERNDALE PLACE","FLINT","48503",61,210,"322 FERNDALE PLACE, Flint MI, 48503",-83.728604,43.013149,"322 ferndale pl, flint, mi 48503, usa"
"95","LG03494","1/25/2016","Lead","60","Copper","6,930","3331","MENOMINEE","BURTON","",60,6930,"3331 MENOMINEE, Flint MI, ",-83.653988,42.97997,"3331 menominee ave, burton, mi 48529, usa"
"96","LG06143","1/29/2016","Lead","60","Copper","290","329","E WOOD ST APT #3","FLINT","48503",60,290,"329 E WOOD ST APT #3, Flint MI, 48503",-88.322573,36.3017741,"329 e wood st, paris, tn 38242, usa"
"97","LF99925","1/15/2016","Lead","57","Copper","350","902","HURON ST","","",57,350,"902 HURON ST, Flint MI, ",-83.69075,42.984692,"902 huron st, flint, mi 48507, usa"
"98","LG05088","1/27/2016","Lead","57","Copper","270","3216","M L KING BLVD","FLINT","48505",57,270,"3216 M L KING BLVD, Flint MI, 48505",-83.704066,43.0453,"3216 martin luther king ave, flint, mi 48505, usa"
"99","LG00477","1/19/2016","Lead","56","Copper","0","729","PIERSON ST","","",56,0,"729 PIERSON ST, Flint MI, ",-83.680426,43.016803,"729 pierson st, flint, mi 48503, usa"
"100","LG00488","1/19/2016","Lead","56","Copper","210","4227","RED ARROW RD","FLINT","48507",56,210,"4227 RED ARROW RD, Flint MI, 48507",-83.667724,42.985394,"4227 red arrow rd, flint, mi 48507, usa"
"101","LG01224","1/21/2016","Lead","56","Copper","160","2233","MT ELLIOTT","FLINT","48504",56,160,"2233 MT ELLIOTT, Flint MI, 48504",-83.715064,43.037326,"2233 mt elliott ave, flint, mi 48504, usa"
"102","LF93584","11/24/2015","Lead","55","Copper","60","2521","TRUMBULL AVE","FLINT","48504",55,60,"2521 TRUMBULL AVE, Flint MI, 48504",-83.724877,43.039866,"2521 trumbull dr, flint, mi 48504, usa"
"103","LG00933","1/20/2016","Lead","55","Copper","130","1533","W COURT ST","FLINT","48503",55,130,"1533 W COURT ST, Flint MI, 48503",-83.706091,43.006513,"1533 w court st, flint, mi 48503, usa"
"104","LG02939","1/23/2016","Lead","54","Copper","390","2910","WESTWOOD PKWY","FLINT","48503",54,390,"2910 WESTWOOD PKWY, Flint MI, 48503",-83.722954,42.993729,"2910 westwood pkwy, flint, mi 48503, usa"
"105","LG04511","1/26/2016","Lead","54","Copper","90","720","CHURCH ST","FLINT","48502",54,90,"720 CHURCH ST, Flint MI, 48502",-83.691539,43.01212,"720 church st, flint, mi 48502, usa"
"106","LF86505","10/6/2015","Lead","53","Copper","70","2801","YALE ST #2","FLINT","48503",53,70,"2801 YALE ST #2, Flint MI, 48503",-95.3994175,29.8121299,"2801 yale st, houston, tx 77008, usa"
"107","LG03031","1/24/2016","Lead","53","Copper","480","4028","MANNHALL AVE","FLINT","48532",53,480,"4028 MANNHALL AVE, Flint MI, 48532",-83.73961,43.005579,"4028 mann hall ave, flint, mi 48532, usa"
"108","LG05730","1/28/2016","Lead","53","Copper","430","1514","MULBERRY LN","FLINT","48507",53,430,"1514 MULBERRY LN, Flint MI, 48507",-83.7000345,42.9864175,"1514 mulberry ln, flint, mi 48507, usa"
"109","LG04156","1/26/2016","Lead","52","Copper","120","1915","GLENDALE AVE","FLINT","48503",52,120,"1915 GLENDALE AVE, Flint MI, 48503",-83.66466,43.023507,"1915 glendale ave, flint, mi 48503, usa"
"110","LG04165","1/26/2016","Lead","51","Copper","120","3619","TWILIGHT DR","FLINT","48506",51,120,"3619 TWILIGHT DR, Flint MI, 48506",-83.648664,43.047875,"3619 twilight dr, flint, mi 48506, usa"
"111","LF91272","11/9/2015","Lead","50","Copper","100","1426","MAPLEWOOD AVE","FLINT","48506",50,100,"1426 MAPLEWOOD AVE, Flint MI, 48506",-83.663767,43.029948,"1426 maplewood ave, flint, mi 48506, usa"
"112","LG04983","1/27/2016","Lead","50","Copper","100","3013","CHICAGO BLVD","FLINT","48503",50,100,"3013 CHICAGO BLVD, Flint MI, 48503",-83.727265,42.997069,"3013 chicago blvd, flint, mi 48503, usa"
"113","LF99181","1/7/2016","Lead","49","Copper","60","1201","N GRAND TRAVERSE","FLINT","",49,60,"1201 N GRAND TRAVERSE, Flint MI, ",-83.705607,43.023824,"1201 n grand traverse st, flint, mi 48503, usa"
"114","LG00897","1/20/2016","Lead","49","Copper","0","1109","REMINGTON AVE","FLINT","48507",49,0,"1109 REMINGTON AVE, Flint MI, 48507",-83.695112,42.996501,"1109 remington ave, flint, mi 48507, usa"
"115","LG00944","1/20/2016","Lead","49","Copper","190","4120","COMSTOCK  AVE","FLINT","48504",49,190,"4120 COMSTOCK  AVE, Flint MI, 48504",-83.726138,43.0521699,"4120 comstock ave, flint, mi 48504, usa"
"116","LG02913","1/23/2016","Lead","48","Copper","190","1902","LAUREL OAK DR","FLINT","48507",48,190,"1902 LAUREL OAK DR, Flint MI, 48507",-83.7108842,42.9830637,"1902 laurel oak dr, flint, mi 48507, usa"
"117","LG03495","1/25/2016","Lead","48","Copper","380","840","REMINGTON AVE","FLINT","48507",48,380,"840 REMINGTON AVE, Flint MI, 48507",-83.690051,42.997252,"840 remington ave, flint, mi 48507, usa"
"118","LF97979","12/29/2015","Lead","47","Copper","730","2610","ML KING AVE","FLINT","",47,730,"2610 ML KING AVE, Flint MI, ",-83.70411,43.040496,"2610 martin luther king ave, flint, mi 48505, usa"
"119","LG02534","1/22/2016","Lead","47","Copper","260","1125","SIMCOE AVE","FLINT","48507",47,260,"1125 SIMCOE AVE, Flint MI, 48507",-83.6957539,42.993643,"1125 simcoe ave, flint, mi 48507, usa"
"120","LG04176","1/26/2016","Lead","47","Copper","210","3815","CUTHBERTSON STREET","FLINT","48507",47,210,"3815 CUTHBERTSON STREET, Flint MI, 48507",-83.680203,42.988304,"3815 cuthbertson st, flint, mi 48507, usa"
"121","LG04292","1/26/2016","Lead","47","Copper","980","702","W. TWELFTH ST","FLINT","48503",47,980,"702 W. TWELFTH ST, Flint MI, 48503",-83.690244,43.0031899,"702 w 12th st, flint, mi 48503, usa"
"122","LG04835","1/27/2016","Lead","47","Copper","60","3138","WHITTIER AVE","FLINT","48506",47,60,"3138 WHITTIER AVE, Flint MI, 48506",-83.648241,43.036338,"3138 whittier ave, flint, mi 48506, usa"
"123","LG05179","1/27/2016","Lead","47","Copper","660","1215","HUGHES AVE","FLINT","48503",47,660,"1215 HUGHES AVE, Flint MI, 48503",-83.726763,43.00123,"1215 hughes ave, flint, mi 48503, usa"
"124","LG05529","1/28/2016","Lead","47","Copper","410","1517","STOCKTON ST","FLINT","48503",47,410,"1517 STOCKTON ST, Flint MI, 48503",-83.688344,43.003589,"1517 stockton st, flint, mi 48503, usa"
"125","LG05019","1/27/2016","Lead","46","Copper","100","1129","NEUBERT AVE","FLINT","",46,100,"1129 NEUBERT AVE, Flint MI, ",-83.695831,42.991707,"1129 neubert ave, flint, mi 48507, usa"
"126","LG05995","1/29/2016","Lead","46","Copper","80","6820","N CLIO RD","FLINT","48504",46,80,"6820 N CLIO RD, Flint MI, 48504",-83.732836,43.072698,"6820 clio rd, flint, mi 48504, usa"
"127","LG02216","1/21/2016","Lead","44","Copper","0","4029","PROCTOR","FLINT","48504",44,0,"4029 PROCTOR, Flint MI, 48504",-83.7187919,43.051619,"4029 proctor st, flint, mi 48504, usa"
